Rank,Symbol,Name,Stock Price,Exchange,Sector 
         1,AETI,American Electric Technologies Inc,2.320000,NASDAQ,1320
         2,APWC,Asia Pacific Wire & Cable Corp Ltd,2.400000,NASDAQ,1320
         3,BDR,Blonder Tongue Laboratories Inc,0.588500,AMEX,1320
         4,CRNT,Ceragon Networks Ltd,2.050000,NASDAQ,1320
         5,CNTF,China TechFaith Wireless Comm Tech Ltd,2.430000,NASDAQ,1320
         6,DZSI,DASAN Zhone Solutions Inc,1.120000,NASDAQ,1320
         7,EXFO,EXFO Inc,4.010000,NASDAQ,1320
         8,INVT,Inventergy Global Inc,0.760000,NASDAQ,1320
         9,MTSL,MER Telemanagement Solutions Ltd,1.080000,NASDAQ,1320
         10,OCC,Optical Cable Corp,2.660000,NASDAQ,1320
         11,TCCO,Technical Communications Corp,2.290000,NASDAQ,1320
         12,UTSI,UTStarcom Holdings Corp,1.940000,NASDAQ,1320
         13,VOXX,VOXX International Corp,3.600000,NASDAQ,1320
         14,WSTL,Westell Technologies Inc,0.505000,NASDAQ,1320
         15,WILN,Wi-LAN Inc,1.530000,NASDAQ,1320
         16,XGTI,xG Technology Inc,0.440000,NASDAQ,1320
         17,XCOM,Xtera Communications Inc,0.402100,NASDAQ,1320
